Original_ID,Common_name,SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year
BAS_51607091,    ,Clc1cc2C(=O)NCCCCN(C(=O)CN(C)C3CCCC3)CC(=O)NC(C(C)C)COc2cc1,-7.097,    ,Log Peff,-7.097,Log Peff,-7.09691,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51900716,    ,O=C(NCC1N(CC)CCC1)C1NC(=O)c2c(OCC(C(C)C)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)CC1)cccc2,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204370,    ,O=C(C)N1c2c(cc(C(=O)N3C(Cc4ccccc4)CCCC3)cc2)CN(CCC(C)C)CCCCCCC1,-6.538,    ,Log Peff,-6.538,Log Peff,-6.5376019,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204058,    ,O=C(C)N1c2c(cc(C(=O)N3CCN(c4ncccn4)CC3)cc2)CN(C2CCOCC2)CCCCCCC1,-5.058,    ,Log Peff,-5.058,Log Peff,-5.057992,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52172468,    ,OC1C(O)CCNCCCCc2c(OC1)cccc2,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204279,    ,O=C(C)N1c2c(cc(C(=O)NC(CO)Cc3[nH]cnc3)cc2)CN(CC(C)C)CCCCCCC1,-5.149,    ,Log Peff,-5.149,Log Peff,-5.149354,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52468820,    ,O=C(N1CCC2(CN(CCCC)CCOc3c(cccc3)CCCC2)CC1)c1nccnc1,-6.367,    ,Log Peff,-6.367,Log Peff,-6.3665314,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52163948,    ,Fc1c(C)ccc(-c2cc3c(N(C(=O)c4cnccc4)CCCCCCCNC3)cc2)c1,-6.432,    ,Log Peff,-6.432,Log Peff,-6.4317985,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52164032,    ,Fc1ccc(CCNc2cc3c(N(C(=O)c4cnccc4)CCCCCCCNC3)cc2)cc1,-6.959,    ,Log Peff,-6.959,Log Peff,-6.9586072,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52500359,    ,Fc1c(F)cc2c(N(C(=O)CC)CCCN(C)CCCN(C(=O)c3c(CC)nns3)C2)c1,-4.915,    ,Log Peff,-4.915,Log Peff,-4.9154239,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52201984,    ,O=C(COC)N1c2c(cc(Nc3cc(C)cnc3)cc2)CNCCCCCCC1,-6.745,    ,Log Peff,-6.745,Log Peff,-6.7447276,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52477446,    ,O=C(N(Cc1ccccc1)C)c1cc2c(OCCCCCN(C3CCC3)Cc3cc(ccc3)C2)cc1,-6.509,    ,Log Peff,-6.509,Log Peff,-6.5086384,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204239,    ,O=C(C)N1c2c(cc(C(=O)N3CCN(C)CC3)cc2)CN(CC(C)C)CCCCCCC1,-4.77,    ,Log Peff,-4.77,Log Peff,-4.7700624,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52469104,    ,O=C(Cc1cc2OCOc2cc1)N1CCC(O)C(O)COC(=O)C2(CCN(Cc3ccccc3)CC2)CCCC1,-5.6,    ,Log Peff,-5.6,Log Peff,-5.6003261,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204003,    ,O=C(C)N1c2c(cc(C(=O)N3CCOCC3)cc2)CN(C2CCOCC2)CCCCCCC1,-5.432,    ,Log Peff,-5.432,Log Peff,-5.4317985,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204238,    ,O=C(C)N1c2c(cc(C(=O)N3CCN(CCOC)CC3)cc2)CN(CC(C)C)CCCCCCC1,-4.899,    ,Log Peff,-4.899,Log Peff,-4.8989406,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52161612,    ,Fc1c(CN2CC3(CCN(C(=O)CN(C)C)CC3)CCCCc3c(OCC2)cccc3)cccc1,-6.638,    ,Log Peff,-6.638,Log Peff,-6.6382723,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51606499,    ,Clc1cc2C(=O)N(C)CCCCN(C(=O)C3CCN(C(C)C)CC3)CCOc2cc1,-6.921,    ,Log Peff,-6.921,Log Peff,-6.9208188,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52163967,    ,Fc1c(-c2cc3c(N(C(=O)c4cnccc4)CCCCCCCNC3)cc2)cccc1,-6.523,    ,Log Peff,-6.523,Log Peff,-6.5228786,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204406,    ,O=C(C)N1c2c(cc(C(=O)N3CC(=O)NCC3)cc2)CN(CCC(C)C)CCCCCCC1,-7.523,    ,Log Peff,-7.523,Log Peff,-7.5228786,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52129775,    ,O=C(NCCCCN1CCCC1)C1NC(=O)c2c(OCC(Cc3ccccc3)N(C)C(=O)CN(C)C(=O)CC1)cccc2,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51606531,    ,Clc1cc2C(=O)N(C)CCCCN(C(=O)CCN3CCC(C)CC3)CCOc2cc1,-7.097,    ,Log Peff,-7.097,Log Peff,-7.09691,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52468812,    ,O=C(N1CCC2(CN(CCCC)CCOc3c(cccc3)CCCC2)CC1)c1c(C)nccc1,-6.237,    ,Log Peff,-6.237,Log Peff,-6.2365718,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52171414,    ,Fc1c(O)c(CN2CCC3(C(=O)NC(CC(C)C)C(=O)NC(C)COCCCC3)CC2)ccc1,-5.111,    ,Log Peff,-5.111,Log Peff,-5.1106982,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52203806,    ,O=C(NC1CCN(C)CC1)c1c2c(OCCCCCNC(=O)CN(Cc3ccccc3)C2)ccc1,-7.398,    ,Log Peff,-7.398,Log Peff,-7.3979402,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204598,    ,O=C(NC1CCN(C)CC1)c1cc2c(OCCOCCNC(=O)c3cc(ccc3)C2)cc1,-7.398,    ,Log Peff,-7.398,Log Peff,-7.3979402,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52480525,    ,O=C(NCCn1cncc1)c1cc2c(OCCCCCN(C)Cc3cc(ccc3)C2)cc1,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52476602,    ,O=C(NCCc1nc[nH]c1)c1cc2c(OCCCCCN(CC3CC3)Cc3cc(ccc3)C2)cc1,-7.523,    ,Log Peff,-7.523,Log Peff,-7.5228786,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52477557,    ,O=C(NC1CCN(C)CC1)c1cc2c(OCCOCCN(C(C)C)Cc3cc(ccc3)C2)cc1,-6.796,    ,Log Peff,-6.796,Log Peff,-6.7958798,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52152810,    ,CN1CCN(/C/2=N/CCCCCOc3c(Oc4ncccc\24)cccc3)CCC1,-6.721,    ,Log Peff,-6.721,Log Peff,-6.7212462,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52468940,    ,O=C(Cc1nc(C)sc1)N1CCOc2c(cccc2)CN2CCC(CO)(CC2)CCCC1,-7.155,    ,Log Peff,-7.155,Log Peff,-7.154902,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52469003,    ,O=C(CCc1c(OC)c(OC)c(OC)cc1)N1CCC(O)C(O)COC(=O)C2(CCN(C)CC2)CCCC1,-5.914,    ,Log Peff,-5.914,Log Peff,-5.91364,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52163906,    ,Fc1ncc(-c2cc3c(N(C(=O)c4cnccc4)CCCCCCCNC3)cc2)cc1,-4.712,    ,Log Peff,-4.712,Log Peff,-4.7115273,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52469005,    ,O=C(N1CCC(O)C(O)COC(=O)C2(CCN(C)CC2)CCCC1)c1c(C)nc(C)nc1,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52469107,    ,O=C(N1CCC(O)C(O)COC(=O)C2(CCN(Cc3ccccc3)CC2)CCCC1)c1c(C)nc(C)nc1,-7,    ,Log Peff,-7,Log Peff,-7,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52144142,    ,O=C1N(C)CC2(CC(O)C(O)Cc3c(OC1)cccc3)CCNCC2,-5.959,    ,Log Peff,-5.959,Log Peff,-5.9586072,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52161291,    ,O=C(N1CCC2(CN(C)CCOc3c(cccc3)CCCC2)CC1)c1cnc(N)cc1,-5.217,    ,Log Peff,-5.217,Log Peff,-5.2168112,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51607239,    ,Clc1cc2C(=O)NCCCCN(C(=O)CCN3CCCCCC3)CC(=O)NC(C(C)C)COc2cc1,-7.699,    ,Log Peff,-7.699,Log Peff,-7.6989698,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204272,    ,O=C(C)N1c2c(cc(C(=O)N3CCC(Cc4ccccc4)CC3)cc2)CN(CC(C)C)CCCCCCC1,-6.745,    ,Log Peff,-6.745,Log Peff,-6.7447276,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52122447,    ,O=C(N1CCN(C)CCC1)C1NC(=O)c2c(OCCN(C)C(=O)C(CC(C)C)NC(=O)CC1)cccc2,-7.699,    ,Log Peff,-7.699,Log Peff,-7.6989698,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52476244,    ,O=C(NCCc1nc[nH]c1)c1cc2c(OCCOCCN(CC(C)C)Cc3cc(ccc3)C2)cc1,-7.155,    ,Log Peff,-7.155,Log Peff,-7.154902,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52500909,    ,Fc1c(F)cc2c(N(C(=O)CC)CCCN(C)CCCN(C(=O)C=3C(=O)NC(C)=CC=3)C2)c1,-7.523,    ,Log Peff,-7.523,Log Peff,-7.5228786,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52469188,    ,O=C(Cc1c2c([nH]c1)cccc2)N1CCC(O)C(O)COC(=O)C2(CCN(Cc3ccncc3)CC2)CCCC1,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52129649,    ,O=C(N1CCN(C)CCC1)C1NC(=O)c2c(OCC(Cc3ccccc3)N(C)C(=O)C(CC(C)C)NC(=O)CC1)cccc2,-7.699,    ,Log Peff,-7.699,Log Peff,-7.6989698,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52477569,    ,O=C(N1CCN(CCN(C)C)CC1)c1cc2c(OCCOCCN(C(C)C)Cc3cc(ccc3)C2)cc1,-6.959,    ,Log Peff,-6.959,Log Peff,-6.9586072,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52110115,    ,O=C(N)CC1C(=O)N(C)CCOc2c(C(=O)NC(C(=O)NCCCN(C)C)CC(=O)N1)cccc2,-6.569,    ,Log Peff,-6.569,Log Peff,-6.5686364,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52171405,    ,O=C1C2(CCN(Cc3cnc(NC)nc3)CC2)CCCCOCC(C)NC(=O)C(CC(C)C)N1,-7.699,    ,Log Peff,-7.699,Log Peff,-7.6989698,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52469102,    ,O=C(N1CCC(O)C(O)COC(=O)C2(CCN(Cc3ccccc3)CC2)CCCC1)c1c(C)nccc1,-7.222,    ,Log Peff,-7.222,Log Peff,-7.221849,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52476714,    ,S(=O)(=O)(Nc1n(CCNC(=O)c2cc3c(OCCCCCN(CC4CC4)Cc4cc(ccc4)C3)cc2)ncc1)C,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52469129,    ,O=C(N1CCC(O)C(O)COC(=O)C2(CCN(Cc3ccccc3)CC2)CCCC1)c1cn(C)nc1,-7.699,    ,Log Peff,-7.699,Log Peff,-7.6989698,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52204386,    ,Clc1cc(NC(=O)c2cc3c(N(C(=O)C)CCCCCCCN(CCC(C)C)C3)cc2)ccc1,-6.585,    ,Log Peff,-6.585,Log Peff,-6.5850267,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52201963,    ,O=C(COC)N1c2c(cc(-c3cc(C(=O)N)ccc3)cc2)CNCCCCCCC1,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52202173,    ,O=C(N1CCC(Cc2ccccc2)CC1)C1NC(=O)c2c(OCC3N(C(=O)C(CCCCN)NC(=O)CN(Cc4ccccc4)C(=O)CC1)CCC3)cccc2,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52202141,    ,O=C(N1CCN(Cc2ncccc2)CCC1)C1NC(=O)c2c(OCC3N(C(=O)C(CCCCN)NC(=O)C4N(C(=O)CC1)CCC4)CCC3)cccc2,-7.222,    ,Log Peff,-7.222,Log Peff,-7.221849,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51607115,    ,Clc1cc2C(=O)NCCCCN(C(=O)CCCCN)CC(=O)NC(C(C)C)COc2cc1,-6.328,    ,Log Peff,-6.328,Log Peff,-6.3279023,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52107805,    ,O=C(NCCCCN(C)C)C1NC(=O)c2c(OCCN(C)C(=O)CN(C)C(=O)C1)cccc2,-6.409,    ,Log Peff,-6.409,Log Peff,-6.4089355,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52110127,    ,O=C(N)CC1C(=O)N(C)CCOc2c(C(=O)NC(C(=O)NCCN3CCCCCC3)CC(=O)N1)cccc2,-6.678,    ,Log Peff,-6.678,Log Peff,-6.6777806,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52164085,    ,S(=O)(=O)(C)N1CCN(c2cc3c(N(C(=O)c4cnccc4)CCCCCCCNC3)cc2)CC1,-5.082,    ,Log Peff,-5.082,Log Peff,-5.0819697,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52501250,    ,Fc1c(F)cc2c(N(C(=O)CC)CCCN(C(C)C)CCCN(C(=O)c3noc(CCC)c3)C2)c1,-6.824,    ,Log Peff,-6.824,Log Peff,-6.8239088,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52152793,    ,N(CCC[NH+]1CCOCC1)=C1NCCCCCOc2c(Oc3ncccc13)cccc2,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52152828,    ,N(CC1[NH+](CC)CCC1)=C1NCCCCCOc2c(Oc3ncccc13)cccc2,-6.921,    ,Log Peff,-6.921,Log Peff,-6.9208188,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52172762,    ,O=C(CN1CCN(C)CC1)N1CCOc2c(C(=O)N3CCC(CO)(CC3)CCCC1)cccc2,-8,    ,Log Peff,-8,Log Peff,-8,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52163946,    ,O=C(N1c2c(cc(-c3cc(C)c(OC)cc3)cc2)CNCCCCCCC1)c1cnccc1,-6.77,    ,Log Peff,-6.77,Log Peff,-6.7695513,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52468948,    ,O=C(N1CCOc2c(cccc2)CN2CCC(CO)(CC2)CCCC1)c1cnc(C)cc1,-7.523,    ,Log Peff,-7.523,Log Peff,-7.5228786,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52477316,    ,O=C(N1CC(O)C1)c1cc2c(OCCOCCN(C3CCOCC3)Cc3cc(ccc3)C2)cc1,-7.699,    ,Log Peff,-7.699,Log Peff,-7.6989698,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52172466,    ,OCC12CCN(Cc3c(OCCNCCCC1)cccc3)CC2,-7.523,    ,Log Peff,-7.523,Log Peff,-7.5228786,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
